page,title,date,total,available,type,pay,percent,dates,days
208135,2020 유망 비전 블록체인 프로젝트 투자설명회,2020.2.19 (수) 14:00 ~ 16:00,300.0,0.0,세미나/컨퍼런스,무료,1.0,2020-02-19,(수)
208137,인테리어교육,2020.2.19 (수) 11:30 ~ 12:00,30.0,0.0,교육,무료,1.0,2020-02-19,(수)
208138,프로그래밍교육양성<유료>,2020.2.19 (수) 11:30 ~ 2020.2.26 (수) 12:00,100.0,0.0,교육,무료,1.0,2020-02-19,(수)
208139,최성호가 함께 하는 1인 기업 토크 모임,2020.2.7 (금) 15:00 ~ 17:00,6.0,0.0,소모임/친목행사,유료,1.0,2020-02-07,(금)
208143,나는 블로그로 직접 이북을 판다,2020.2.7 (금) 19:00 ~ 21:00,6.0,0.0,강연,유료,1.0,2020-02-07,(금)
208144,나의 개 같은 사업이야기,2020.2.7 (금) 16:00 ~ 18:00,10.0,0.0,강연,유료,1.0,2020-02-07,(금)
208145,[네트워크 관리사 2급 필기] 4일만에 취득하기!,2020.2.4 (화) 10:00 ~ 2020.2.5 (수) 18:00,20.0,0.0,교육,유료,1.0,2020-02-04,(화)
208149,더리더 독서모임,2020.2.8 (토) 14:00 ~ 16:00,20.0,0.0,소모임/친목행사,유료,1.0,2020-02-08,(토)
208150,Art&DigitalTech 컨퍼런스&쇼케이스 #Platform@Digital Revolution,2020.2.7 (금) 13:00 ~ 17:30,230.0,0.0,세미나/컨퍼런스,무료,1.0,2020-02-07,(금)
208151,[TOAST FORWARD] GAME TALK,2020.2.20 (목) 14:00 ~ 15:40,40.0,0.0,교육,무료,1.0,2020-02-20,(목)
208152,인스타그램에서 쇼핑몰 홍보하기(2/7) - 원데이클래스,2020.2.7 (금) 20:00 ~ 22:00,3.0,0.0,교육,유료,1.0,2020-02-07,(금)
208153,모바일 결제 쇼핑몰 제작기법 with 워드프레스(2/14) - 원데이클래스,2020.2.14 (금) 14:00 ~ 15:00,3.0,0.0,교육,유료,1.0,2020-02-14,(금)
208154,(2/18 관리자) 2020 스타트업 임직원 역량강화,2020.2.18 (화) 10:00 ~ 17:00,40.0,0.0,교육,무료,1.0,2020-02-18,(화)
208155,(2/19 직원) 2020 스타트업 임직원 역량강화,2020.2.19 (수) 10:00 ~ 17:00,30.0,0.0,교육,무료,1.0,2020-02-19,(수)
208156,[삼성생명] 2020년 트렌드에 맞는 목돈자금 준비 재테크 세미나,2020.2.13 (목) 19:00 ~ 21:00,5.0,0.0,기타,무료,1.0,2020-02-13,(목)
208157,워드프레스 3시간 속성 마스터하기(2/12) - 원데이클래스,2020.2.12 (수) 19:00 ~ 22:00,3.0,0.0,교육,유료,1.0,2020-02-12,(수)
208159,워드프레스+쇼핑몰 4시간 속성 마스터(2/12) - 원데이클래스,2020.2.12 (수) 14:00 ~ 18:00,3.0,0.0,교육,유료,1.0,2020-02-12,(수)
208160,소자본 창업 해독찜질 창업 입문,2020.2.8 (토) 15:00 ~ 17:00,10.0,0.0,교육,유료,1.0,2020-02-08,(토)
208161,금융자격증취득과정 SFS1기★원서비지원/수료증지급★,2020.3.16 (월) 15:00 ~ 2020.3.27 (금) 15:30,100.0,0.0,교육,무료,1.0,2020-03-16,(월)
208167,엑셀 기본반+함수반 - 키보드로만 엑셀하자(평생 AS),2020.2.8 (토) 13:00 ~ 2020.2.9 (일) 14:00,14.0,0.0,강연,유료,1.0,2020-02-08,(토)
208168,엑셀 기본반+함수반 - 키보드로만 엑셀하자(평생 AS),2020.2.15 (토) 13:00 ~ 2020.2.16 (일) 14:00,14.0,0.0,강연,유료,1.0,2020-02-15,(토)
208169,#순창일주일살기 #농촌살아보기 #순창힐링하우스 (1 Week Healing Time),2020.3.1 (일) 09:00 ~ 2020.7.15 (수) 15:00,2.0,0.0,여행,유료,1.0,2020-03-01,(일)
208170,엑셀 기본반+함수반 - 키보드로만 엑셀하자(평생 AS),2020.2.22 (토) 13:00 ~ 2020.2.23 (일) 16:00,14.0,0.0,강연,유료,1.0,2020-02-22,(토)
208171,엑셀 기본반+함수반 - 키보드로만 엑셀하자(평생 AS),2020.2.29 (토) 13:00 ~ 2020.3.1 (일) 14:00,14.0,0.0,강연,유료,1.0,2020-02-29,(토)
208173,습관과 영어의 톨라보!,2020.2.1 (토) 14:00 ~ 18:00,20.0,0.0,교육,유료,1.0,2020-02-01,(토)
208174,북한 적정기술 아이디어 일일캠프,2020.2.1 (토) 10:00 ~ 18:00,5.0,0.0,교육,무료,1.0,2020-02-01,(토)
208175,북한 적정기술 아이디어 일일캠프에서 아이디어 발굴 하실 분 구합니다.,2020.2.1 (토) 10:00 ~ 18:00,5.0,0.0,교육,무료,1.0,2020-02-01,(토)
208176,[무료] 락앤롤 아트투어 樂 N stROLL,2020.2.26 (수) 15:00 ~ 17:30,15.0,0.0,문화/예술,무료,1.0,2020-02-26,(수)
208177,[아프리카인사이트] '빈곤포르노 근절세미나'에 초대합니다! (마감),2020.2.10 (월) 18:30 ~ 20:30,2.0,0.0,세미나/컨퍼런스,무료,1.0,2020-02-10,(월)
208178,[2월10일]실무자를 위한 PPT 기획 및 디자인 교육,2020.2.9 (일) 11:00 ~ 13:00,5.0,0.0,교육,유료,1.0,2020-02-09,(일)
208179,[삼성] 63주년 자산관리 고객감사 세미나,2020.2.13 (목) 19:00 ~ 21:00,5.0,0.0,세미나/컨퍼런스,무료,1.0,2020-02-13,(목)
208180,[왕초보 추천] 애니메이션 한편 씹어먹어봤니? <1:1 영어 코칭>,2020.2.29 (토) 09:00 ~ 10:00,5.0,0.0,교육,유료,1.0,2020-02-29,(토)
208181,부산시 청장년 실업해소 맞춤훈련 '회계사무원양성',2020.2.20 (목) 16:30 ~ 2020.6.3 (수) 17:00,25.0,0.0,기타,무료,1.0,2020-02-20,(목)
208182,부산시 청년특화 (2D게임그래픽) 게임콘텐츠제작전문인력양성,2020.2.17 (월) 14:00 ~ 2020.5.13 (수) 19:00,25.0,0.0,기타,무료,1.0,2020-02-17,(월)
208183,2시간의 타로 테라피로 나와 미래 통찰(2/17),2020.2.17 (월) 10:00 ~ 22:00,3.0,0.0,기타,유료,1.0,2020-02-17,(월)
208185,(부산)2시간의 타로 테라피로 나와 미래 통찰(2/15),2020.2.15 (토) 10:00 ~ 22:00,3.0,0.0,기타,유료,1.0,2020-02-15,(토)
208188,제 58회 컬스업/2020년 정부지원사업의 올바른 이해와 준비,2020.2.1 (토) 10:00 ~ 12:00,25.0,0.0,문화/예술,무료,1.0,2020-02-01,(토)
208189,취미베이킹클래스 인생나이스~콘,2020.2.11 (화) 16:00 ~ 17:30,3.0,0.0,취미활동,유료,1.0,2020-02-11,(화)
208191,작은기업대표님을 위한 1:1 마케팅 컨설팅 [4차],2020.2.12 (수) 19:00 ~ 22:00,1.0,0.0,교육,유료,1.0,2020-02-12,(수)
208193,게임산업 재도약을 위한 대토론회,2020.2.18 (화) 09:30 ~ 17:30,200.0,0.0,세미나/컨퍼런스,무료,1.0,2020-02-18,(화)
208194,연봉30%올리고 업무시간 30%줄여주는 스마트워크 [4차],2020.2.11 (화) 19:00 ~ 22:00,3.0,0.0,교육,유료,1.0,2020-02-11,(화)
208195,마케팅과 온라인 콘텐츠 하루만에 정복하기 [4차],2020.2.13 (목) 19:00 ~ 20:00,3.0,0.0,교육,유료,1.0,2020-02-13,(목)
208196,네이버블로그 3시간 왕초보탈출 [4차],2020.2.15 (토) 15:00 ~ 18:00,3.0,0.0,교육,유료,1.0,2020-02-15,(토)
208202,"[행복집짓기99강] 땅, 설계, 시공. 집짓기 전, 이것만은 알고 가세요!",2020.2.29 (토) 14:00 ~ 17:00,6.0,0.0,강연,무료,1.0,2020-02-29,(토)
208204,이창수 박사의  실전 부동산 디벨로퍼 특강,2020.2.8 (토) 14:00 ~ 16:00,20.0,0.0,교육,유료,1.0,2020-02-08,(토)
208205,2020 인디게임 밋업 (뒤끝 & 텐투플레이),2020.2.20 (목) 14:00 ~ 20:00,100.0,0.0,세미나/컨퍼런스,무료,1.0,2020-02-20,(목)
208206,test,2020.2.1 (토) 18:30 ~ 19:00,10.0,0.0,세미나/컨퍼런스,무료,1.0,2020-02-01,(토)
208209,자기치유 영어글쓰기,2020.2.10 (월) 19:00 ~ 21:00,8.0,0.0,교육,유료,1.0,2020-02-10,(월)
208210,코다 프로토콜(Coda Protocol) 서울 밋업,2020.2.3 (월) 19:00 ~ 21:00,80.0,0.0,세미나/컨퍼런스,무료,1.0,2020-02-03,(월)
208211,[수포닉e스포츠] 잉크워 게임교실,2020.2.12 (수) 14:00 ~ 16:00,80.0,0.0,이벤트/파티,무료,1.0,2020-02-12,(수)
208212,제 60회 컬스업/아트비지니스모델 사례발표-함미자,2020.2.15 (토) 10:00 ~ 12:00,20.0,0.0,문화/예술,무료,1.0,2020-02-15,(토)
208215,[역세권토지투자] 2020 대변혁의 부동산시장,2020.2.8 (토) 10:30 ~ 12:00,3.0,0.0,세미나/컨퍼런스,무료,1.0,2020-02-08,(토)
208216,[It's Honey!] 2월 허니테이스팅 소사이어티,2020.2.21 (금) 19:00 ~ 21:00,20.0,0.0,교육,유료,1.0,2020-02-21,(금)
208217,"제82회 ""호기심을 파는 강의""",2020.2.12 (수) 14:00 ~ 16:00,10.0,0.0,세미나/컨퍼런스,유료,1.0,2020-02-12,(수)
208218,워드프레스 3시간 속성 마스터하기(2/4) - 원데이클래스,2020.2.4 (화) 14:00 ~ 17:00,3.0,0.0,교육,유료,1.0,2020-02-04,(화)
208219,"[부산교육,세미나]2020년, 스라밸{스터디(학습)+라이프(삶)+밸런스}을 높여라!!",2020.2.10 (월) 14:00 ~ 2020.5.11 (월) 00:30,20.0,0.0,교육,유료,1.0,2020-02-10,(월)
208220,"한국토지투자공부방 한국토지투자배우기(시흥,광명,화성,평택) 부자공부",2020.2.14 (금) 19:00 ~ 22:00,20.0,0.0,세미나/컨퍼런스,무료,1.0,2020-02-14,(금)
208222,네이버 블로그 4시간만에 왕초보탈출(2/13)-원데이클래스,2020.2.13 (목) 14:00 ~ 18:00,3.0,0.0,교육,유료,1.0,2020-02-13,(목)
208223,"워드프레스 프리미엄 중급과정 Customizing(2/17, 오후반) - 원데이클래스",2020.2.17 (월) 14:00 ~ 17:00,3.0,0.0,교육,유료,1.0,2020-02-17,(월)
208224,1시간의 제테크/사업/창업  사주/타로 재물운UP(2/18),2020.2.18 (화) 10:00 ~ 22:00,2.0,0.0,기타,유료,1.0,2020-02-18,(화)
208225,(부산)1시간의 제테크/사업/창업  사주/타로 재물운UP(2/15),2020.2.15 (토) 10:00 ~ 22:00,2.0,0.0,기타,유료,1.0,2020-02-15,(토)
208226,소상공 자영업 창업자 필수 교육!,2020.2.4 (화) 19:00 ~ 20:30,15.0,0.0,세미나/컨퍼런스,무료,1.0,2020-02-04,(화)
208229,하루만에 나만의 카카오톡 이미티콘 만들어 올리기!,2020.2.11 (화) 18:30 ~ 21:30,10.0,0.0,취미활동,유료,1.0,2020-02-11,(화)
208230,[목공예/원데이 클래스] 수공예 원목 도마 제작,2020.2.8 (토) 14:00 ~ 17:00,3.0,0.0,취미활동,유료,1.0,2020-02-08,(토)
208231,[목공예/원데이 클래스] 수공예 원목 도마 제작,2020.2.15 (토) 14:00 ~ 17:00,3.0,0.0,취미활동,유료,1.0,2020-02-15,(토)
208232,기댑 런칭 이벤트& 정신 건강 포럼,2020.2.8 (토) 17:00 ~ 19:00,50.0,0.0,세미나/컨퍼런스,무료,1.0,2020-02-08,(토)
208233,건물관리단설립세미나,2020.3.5 (목) 14:00 ~ 16:00,5.0,0.0,교육,무료,1.0,2020-03-05,(목)
208234,사회적경제를 활용한 창업 및 경영상담 세미나,2020.2.10 (월) 19:00 ~ 20:30,5.0,0.0,교육,유료,1.0,2020-02-10,(월)
208235,사회적경제를 활용한 최대2억원까지 저금리로 지원하는 정책자금받는 법&신청서 작성법 세미나,2020.2.10 (월) 10:00 ~ 11:30,5.0,0.0,교육,유료,1.0,2020-02-10,(월)
208236,"사회적 경제를 비롯한 2020년  정부지원사업과 창업자&예비창업자, 창업기업 대응전략 세미나",2020.2.11 (화) 10:00 ~ 11:30,5.0,0.0,교육,유료,1.0,2020-02-11,(화)
208237,사회적 경제를 활용한 내 사업 보호에 꼭 필요한 사업 관련 권리 등록 및 실무 및 신청서 작성법 세미나,2020.2.12 (수) 10:00 ~ 11:30,5.0,0.0,교육,유료,1.0,2020-02-12,(수)
208238,"워드프레스 3시간 속성 마스터하기(2/7, 저녁반) - 원데이클래스",2020.2.7 (금) 19:00 ~ 22:00,3.0,0.0,교육,유료,1.0,2020-02-07,(금)
208239,"워드프레스+쇼핑몰 4시간 속성 마스터(2/7, 오후반) - 원데이클래스",2020.2.7 (금) 14:00 ~ 18:00,3.0,0.0,교육,유료,1.0,2020-02-07,(금)
208240,"워드프레스+쇼핑몰 4시간 속성 마스터(2/7, 오전반) - 원데이클래스",2020.2.7 (금) 09:00 ~ 13:00,3.0,0.0,교육,유료,1.0,2020-02-07,(금)
208241,사회적경제를 활용하여 정부에서 무상으로 지원하는 창업자금 1억원받는 법1,2020.2.10 (월) 15:00 ~ 16:30,5.0,0.0,교육,유료,1.0,2020-02-10,(월)
208242,사회적경제를 활용하여 정부에서 무상으로 지원하는 창업자금 1억원받는 법2,2020.2.11 (화) 14:30 ~ 15:30,5.0,0.0,교육,유료,1.0,2020-02-11,(화)
208243,2020년 대비 업종별 실전창업지원금 받는법&신청서 작성법 세미나1,2020.2.10 (월) 17:00 ~ 18:30,5.0,0.0,교육,유료,1.0,2020-02-10,(월)
208244,2020년 대비 업종별 실전창업지원금 받는법&신청서 작성법 세미나2,2020.2.11 (화) 17:00 ~ 18:30,5.0,0.0,교육,유료,1.0,2020-02-11,(화)
208245,2020년 대비 업종별 실전창업지원금 받는법&신청서 작성법 세미나3,2020.2.12 (수) 17:00 ~ 18:30,5.0,0.0,교육,유료,1.0,2020-02-12,(수)
208246,2020년 대비 업종별 실전창업지원금 받는법&신청서 작성법 세미나4,2020.2.13 (목) 17:00 ~ 18:30,5.0,0.0,교육,유료,1.0,2020-02-13,(목)
208247,[당신의 인생 스토리를 들려주시겠습니까?],2020.2.2 (일) 17:00 ~ 17:30,2.0,0.0,강연,유료,1.0,2020-02-02,(일)
208248,Tre pianiste II : '1피아노 6핸즈'-  IPAC 와인과 함께 하는 살롱음악회,2020.2.17 (월) 20:00 ~ 21:30,25.0,0.0,문화/예술,유료,1.0,2020-02-17,(월)
208249,2020년 대비 업종별 실전창업지원금 받는법&신청서 작성법 세미나5,2020.2.14 (금) 17:00 ~ 18:30,5.0,0.0,교육,유료,1.0,2020-02-14,(금)
208250,2020년 대비 업종별 실전창업지원금 받는법&신청서 작성법 세미나6,2020.2.10 (월) 15:00 ~ 16:30,5.0,0.0,교육,유료,1.0,2020-02-10,(월)
208251,2020년 대비 업종별 실전창업지원금 받는법&신청서 작성법 세미나7,2020.2.11 (화) 15:00 ~ 16:30,5.0,0.0,교육,유료,1.0,2020-02-11,(화)
208252,2020년 대비 업종별 실전창업지원금 받는법&신청서 작성법 세미나8,2020.2.12 (수) 15:00 ~ 16:30,5.0,0.0,교육,유료,1.0,2020-02-12,(수)
208253,2020년 대비 업종별 실전창업지원금 받는법&신청서 작성법 세미나9,2020.2.13 (목) 15:00 ~ 16:30,5.0,0.0,교육,유료,1.0,2020-02-13,(목)
208254,2020년 대비 업종별 실전창업지원금 받는법&신청서 작성법 세미나10,2020.2.14 (금) 15:00 ~ 16:30,5.0,0.0,교육,유료,1.0,2020-02-14,(금)
208255,2020년 대비 업종별 실전창업지원금 받는법&신청서 작성법 세미나11,2020.2.11 (화) 13:00 ~ 14:30,5.0,0.0,교육,유료,1.0,2020-02-11,(화)
208256,2020년 2월 1일 오후 5:08 / 박인수님이 개설한 모임,2020.2.9 (일) 10:00 ~ 12:00,2.0,0.0,기타,무료,1.0,2020-02-09,(일)
208257,2020년 대비 업종별 실전창업지원금 받는법&신청서 작성법 세미나12,2020.2.12 (수) 13:00 ~ 14:30,5.0,0.0,교육,유료,1.0,2020-02-12,(수)
208258,2020년 대비 업종별 실전창업지원금 받는법&신청서 작성법 세미나13,2020.2.13 (목) 13:00 ~ 14:30,5.0,0.0,교육,유료,1.0,2020-02-13,(목)
208259,2020년 대비 업종별 실전창업지원금 받는법&신청서 작성법 세미나14,2020.2.14 (금) 13:00 ~ 14:30,5.0,0.0,교육,유료,1.0,2020-02-14,(금)
208260,2020년 대비 업종별 실전창업지원금 받는법&신청서 작성법 세미나15,2020.2.11 (화) 19:00 ~ 20:30,5.0,0.0,교육,유료,1.0,2020-02-11,(화)
208261,2020년 대비 업종별 실전창업지원금 받는법&신청서 작성법 세미나16,2020.2.12 (수) 19:00 ~ 20:30,5.0,0.0,교육,유료,1.0,2020-02-12,(수)
208262,개념없이 시험공부 끝내기,2020.2.8 (토) 10:00 ~ 12:00,5.0,0.0,교육,유료,1.0,2020-02-08,(토)
208263,2020년 대비 업종별 실전창업지원금 받는법&신청서 작성법 세미나17,2020.2.15 (토) 13:00 ~ 14:30,5.0,0.0,교육,유료,1.0,2020-02-15,(토)
